epoch,train_loss,test_loss,test_accuracy
1,2.2899415493011475,2.2935548095703124,0.1805
2,2.2937660217285156,2.28560126953125,0.1629
3,2.282052755355835,2.2752068603515627,0.1837
4,2.234391927719116,2.2609463623046877,0.2353
5,2.263676881790161,2.2441911376953123,0.3284
6,2.2326064109802246,2.2195174560546875,0.3987
7,2.1938743591308594,2.1939034423828123,0.462
8,2.1255927085876465,2.163314990234375,0.5154
9,2.154571294784546,2.131880859375,0.5287
10,2.1156699657440186,2.0866351806640626,0.5799
