CPU,RAM,Time
14.3,65.7,Sat Apr 10 17:18:08 2021
25.0,65.8,Sat Apr 10 17:18:09 2021
16.5,65.9,Sat Apr 10 17:18:09 2021
29.8,66.1,Sat Apr 10 17:18:09 2021
17.4,66.2,Sat Apr 10 17:18:09 2021
16.5,66.3,Sat Apr 10 17:18:09 2021
8.3,66.3,Sat Apr 10 17:18:09 2021
8.3,66.4,Sat Apr 10 17:18:09 2021
8.3,66.5,Sat Apr 10 17:18:09 2021
11.9,66.6,Sat Apr 10 17:18:09 2021
15.5,66.8,Sat Apr 10 17:18:10 2021
8.3,66.8,Sat Apr 10 17:18:10 2021
14.3,66.8,Sat Apr 10 17:18:10 2021
10.7,66.8,Sat Apr 10 17:18:10 2021
9.5,66.9,Sat Apr 10 17:18:10 2021
11.3,66.9,Sat Apr 10 17:18:10 2021
8.4,66.8,Sat Apr 10 17:18:10 2021
9.4,66.3,Sat Apr 10 17:18:10 2021
