epoch,train_loss,test_loss,test_accuracy
1,2.3004307746887207,2.30178759765625,0.1491
2,2.291696071624756,2.296412109375,0.1446
3,2.291456460952759,2.2861023193359373,0.1672
4,2.2826919555664062,2.275030712890625,0.2261
5,2.252624988555908,2.2647799560546873,0.2459
6,2.2489423751831055,2.2495248046875,0.2996
7,2.220991611480713,2.2333450927734373,0.3577
8,2.250729560852051,2.2202344482421874,0.3777
9,2.2526965141296387,2.2078296630859375,0.4119
10,2.2164645195007324,2.1949763671875,0.4323
